序号,视频编码(BV号),视频标题,发布时间,播放量,时长,分区,合集/系列,视频链接
152,BV1JX4y1577c,【主义主义】客观主义（1-4-1-2）——最赤裸裸的精英主义，从母国叛逃，连康德都弄不明白的骗子哲学家安·兰德，无良出版商的摇钱树,2021-02-18,81650,27:13,社科·法律·心理,,https://www.bilibili.com/video/BV1JX4y1577c
153,BV1gi4y1T7yg,【主义主义】复习课：十六种庸俗的唯我论,2021-02-19,44294,37:29,人文历史,,https://www.bilibili.com/video/BV1gi4y1T7yg
154,BV1ii4y1T7Hc,【主义主义】沉默主义（1-4-1-3）——我们为什么会沉默？ 相互误解的两种沉默,2021-02-20,48044,45:26,人文历史,,https://www.bilibili.com/video/BV1ii4y1T7Hc
156,BV1wv411Y7Te,【主义主义】蒙昧主义（1-4-1-4）——大知识分子们刻意生产的愚蠢，深藏不露的大师们的压箱底哲学，列奥·斯特劳斯向麦卡锡交的投名状,2021-02-20,46709,31:58,人文历史,,https://www.bilibili.com/video/BV1wv411Y7Te
157,BV1Wb4y1R7Xt,【主义主义】世俗人道主义（1-4-2）——人类自己拯救自己，反对自然主义的等级制，追求人类大同平等的大众哲学，但又不可避免陷入二元对立,2021-02-21,38309,36:30,人文历史,,https://www.bilibili.com/video/BV1Wb4y1R7Xt
161,BV1zp4y1n7Nv,【主义主义】纵容主义（1-4-2-1）——西欧发达国家的主流意识形态，白左的精神家园：“废除死刑”背后的意识形态阴谋,2021-02-22,55171,40:05,人文历史,,https://www.bilibili.com/video/BV1zp4y1n7Nv
162,BV1Mp4y1W7Fa,【主义主义】多元文化主义（1-4-2-2）——魔鬼的圣典，当代全球资本的原教旨主义意识形态,2021-02-23,64284,54:42,财经商业,,https://www.bilibili.com/video/BV1Mp4y1W7Fa
163,BV1eA411M7qe,【主义主义】环保主义（1-4-2-3）——环保主义就是人类中心主义，属于少数人的“人类”观，属于大工业的“自然”观,2021-02-24,48782,61:42,人文历史,,https://www.bilibili.com/video/BV1eA411M7qe
166,BV1Lh411k7M4,【爱欲经济学】5、性倒错的种类和机制【主义主义】1-4-2-4 性解放主义：人道主义必然走向的虚无主义,2021-02-25,197549,139:50,人文历史,,https://www.bilibili.com/video/BV1Lh411k7M4
168,BV1zh411k7xi,【主义主义】心理主义（1-4-3）——知识分子们成功地让大众们以为掌握了心理学，就掌握了自己的人生,2021-02-26,57956,51:45,社科·法律·心理,,https://www.bilibili.com/video/BV1zh411k7xi
169,BV1dU4y1H7xu,【主义主义】情绪主义（1-4-3-1）——“情商”、“情绪管理”、“做人嘛开心最重要”背后的意识形态,2021-02-27,103965,66:08,社科·法律·心理,,https://www.bilibili.com/video/BV1dU4y1H7xu
171,BV1vV411v7wR,【主义主义】心理正常主义（1-4-3-2）——自以为“正常”，面对“反常”脱口而出“精神B”“神经B”“脑子有WT”的人所陷入的庸俗意识形态,2021-02-28,60951,60:45,社科·法律·心理,,https://www.bilibili.com/video/BV1vV411v7wR
173,BV1jf4y147hE,【主义主义】泛性主义（1-4-3-3）——大众对于精神分析的普遍误解,2021-03-01,47881,43:15,人文历史,,https://www.bilibili.com/video/BV1jf4y147hE
176,BV1Tp4y1H7kc,【主义主义】密契女性主义（1-4-3-4）——真正的女性主义者应当首先批判的假“女性主义”：作为男权幻想和爱欲/审美压迫工具的神秘的“女性本质”,2021-03-02,68910,34:10,社科·法律·心理,,https://www.bilibili.com/video/BV1Tp4y1H7kc
177,BV1BA411K71M,【主义主义】庸俗主义（1-4-4）——人为什么会变得庸俗？变得比平庸更平庸。家里有娃的必看。,2021-03-03,85560,47:51,人文历史,,https://www.bilibili.com/video/BV1BA411K71M
178,BV1P54y1a7DR,【主义主义】顺从主义（1-4-4-1）——“小人”的哲学，随大流、随波逐流、占小便宜、沾沾自喜、“人家都这样”背后的隐秘机制,2021-03-04,62242,36:10,社科·法律·心理,,https://www.bilibili.com/video/BV1P54y1a7DR
180,BV1ey4y1a7ps,【主义主义】粗俗主义（1-4-4-2）——爱说脏话的色鬼和赌狗的意识形态，及其产生的原因,2021-03-05,180037,61:23,社科·法律·心理,,https://www.bilibili.com/video/BV1ey4y1a7ps
182,BV1aX4y1V7nF,【主义主义】四重竞争主义（Fourfold Agonism）——赢！胜利！牛逼！厉害！666！“争强好胜”的四种形式：胜利主义、躺赢主义、完胜主义与对抗,2021-03-06,55766,52:26,人文历史,,https://www.bilibili.com/video/BV1aX4y1V7nF
184,BV1tz4y1177m,【主义主义】形而下学的终点，形而上学的入口；复仇主义（1-4-4-4）——最神圣的庸俗，最沉重的肤浅,2021-03-07,96002,63:23,人文历史,,https://www.bilibili.com/video/BV1tz4y1177m
185,BV1vv411h7kx,【主义主义】复习课2：平凡主义（1-4）四大类十六种普通人所陷入意识形态,2021-03-07,38885,41:16,人文历史,,https://www.bilibili.com/video/BV1vv411h7kx
186,BV1cy4y1E77f,【主义主义】哲学的二阶论域：进入形而上学的准备工作（四种形而上学的由来）,2021-03-08,73052,27:14,人文历史,,https://www.bilibili.com/video/BV1cy4y1E77f
188,BV19A411K7qX,【主义主义】形而上学（2）——古代贵族的精神冒险，背景性的符号秩序与它自己的对立，比下（形而下学）有余，比上（观念论）不足,2021-03-09,84139,41:56,人文历史,,https://www.bilibili.com/video/BV19A411K7qX
189,BV19v411h7VP,【主义主义】在场形而上学（2-1）——宰制西方精神数千年的形而上学范式,2021-03-09,108233,44:37,人文历史,,https://www.bilibili.com/video/BV19v411h7VP
191,BV13b4y197gc,【主义主义】普遍主义（2-1-1）——泰勒斯真正的宝藏，哲学、科学、数学、逻辑学的共同本源,2021-03-10,73354,41:02,人文历史,,https://www.bilibili.com/video/BV13b4y197gc
